"player_gsis_id","season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_first_name","player_last_name","player_jersey_number","player_short_name"
"00-0029293",2023,"REG","1","Marvin Jones","WR","DET",3.7116666666666664,1.9399139649822732,7.438333333333333,21.7442143727162,2,6,33.33333333333333,8.0,0,0.7699999999999996,3.473938433903527,-2.7039384339035273,"Marvin","Jones",0,"M.Jones"
"00-0030035",2023,"REG","0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17","Adam Thielen","WR","CAR",6.301934185056137,3.015319018732098,7.7106389391765315,28.742955864689105,201,266,75.37478431274052,2002.0,8,3.414780634360246,4.360146096241853,-0.9453654618816081,"Adam","Thielen",19,"A.Thielen"
"00-0030061",2023,"REG","1, 2, 4, 6","Zach Ertz","TE","ARI",6.674854166666667,2.834783625077195,7.631937499999999,24.700150431800303,20,33,58.75,152.0,0,2.0933333333333337,2.1896011432837845,-0.09626780995045094,"Zachary","Ertz",86,"Z.Ertz"
"00-0030279",2023,"REG","0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14","Keenan Allen","WR","LAC",6.667175446351199,2.9927404079887028,9.962306403318903,38.667145806242885,216,300,69.98309626881056,2486.0,14,3.855681388717103,3.97840072319842,-0.12271933448131696,"Keenan","Allen",13,"K.Allen"
"00-0030431",2023,"REG","0, 1, 2, 3, 4, 5, 11, 15, 16","Robert Woods","WR","HOU",6.901936868686868,2.51931170532073,10.06987962962963,23.27915566212063,71,134,52.129629629629626,735.0,1,3.265083333333333,3.229755782117872,0.035327551215460794,"Robert","Woods",2,"R.Woods"
"00-0030506",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 19, 20, 21, 23","Travis Kelce","TE","KC",6.490753640776699,3.769696228280126,7.004407200403413,26.686636422186268,212,271,78.61314471162956,2293.0,13,5.476561560303495,5.197959675378388,0.27860188492510796,"Travis","Kelce",87,"T.Kelce"
"00-0030564",2023,"REG","0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18","DeAndre Hopkins","WR","TEN",5.731997979344409,2.284796855543889,14.258992090515276,43.12628677282212,148,270,56.43691883709058,2094.0,14,3.568876050420168,3.5636854794919435,0.005190570928224329,"DeAndre","Hopkins",10,"D.Hopkins"
"00-0031235",2023,"REG","0, 7, 9, 11, 12, 14, 21","Odell Beckham","WR","BAL",5.412522959183674,2.7230278586468555,15.143865221088435,33.535266213165336,59,106,57.8125,939.0,5,4.192738095238096,4.050941932391494,0.14179616284660215,"Odell","Beckham",3,"O.Beckham"
"00-0031236",2023,"REG","0, 3, 10, 12, 14, 15, 17, 18, 19","Brandin Cooks","WR","DAL",6.020634359467692,2.6774354080831975,13.821449074074074,29.14430308138988,90,138,61.23015873015873,1112.0,12,2.619318930041153,2.6213552968450213,-0.0020363668038685637,"Brandin","Cooks",3,"B.Cooks"
"00-0031260",2023,"REG","0, 1, 5, 7, 8, 9, 10, 11, 16","Logan Thomas","TE","WAS",6.334000896057347,3.580649917229739,6.116212962962963,15.578577548961448,97,135,74.42566692566692,876.0,7,4.901696408529742,4.64081298777754,0.2608834207522011,"Logan","Thomas",82,"L.Thomas"
"00-0031381",2023,"REG","0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18","Davante Adams","WR","LV",5.216489578017441,2.4726740128662104,10.621177156503627,46.43406067847678,202,346,55.646520146520146,2243.0,16,3.2496502940235095,3.0560528289461746,0.1935974650773349,"Davante","Adams",17,"D.Adams"
"00-0031408",2023,"REG","0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20","Mike Evans","WR","TB",6.2565852594449085,2.4294500457391432,14.419243827160493,43.90571558242935,163,284,56.82721236642805,2595.0,27,3.9926414841604716,3.562985531089422,0.4296559530710495,"Mike","Evans",13,"M.Evans"
"00-0031428",2023,"REG","0, 1, 5","Allen Robinson","WR","PIT",6.65084219858156,2.5710044024686054,7.34263888888889,16.362285682768626,43,65,62.26851851851851,366.0,0,2.5453333333333332,2.29150631276877,0.2538270205645632,"Allen","Robinson",11,"A.Robinson"
"00-0031544",2023,"REG","0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19","Amari Cooper","WR","CLE",5.614385358040653,2.2244300045595304,13.945662927860539,38.83443357068284,148,261,56.83250572956455,2559.0,10,3.6640443086325445,2.4229180651739854,1.241126243458559,"Amari","Cooper",2,"A.Cooper"
"00-0031547",2023,"REG","0, 2, 12, 13, 15, 16","DeVante Parker","WR","NE",6.361036195286196,2.3984184602773886,9.157505050505051,24.792368400228074,55,87,69.9074074074074,666.0,0,5.6881666666666675,5.100075442089068,0.5880912245775999,"DeVante","Parker",1,"D.Parker"
"00-0031549",2023,"REG","0, 2, 5, 14, 18","Nelson Agholor","WR","BAL",6.474603100775194,3.3546116764765292,9.963666666666667,16.670480725626206,54,66,88.22222222222223,579.0,5,2.7932999999999995,3.6458168967186824,-0.8525168967186826,"Nelson","Agholor",15,"N.Agholor"
"00-0031588",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20","Stefon Diggs","WR","BUF",5.915013512876013,2.936511371580388,9.61047535624098,33.3891251098332,224,337,67.27251567876569,2439.0,16,4.509935480640854,3.7442581184116492,0.7656773622292048,"Stefon","Diggs",14,"S.Diggs"
